   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 ElementPath.py:352(__init__)
        8    0.000    0.000    0.000    0.000 ElementPath.py:360(iterfind)
        8    0.000    0.000    0.000    0.000 ElementPath.py:416(findtext)
       12    0.000    0.000    0.000    0.000 ElementPath.py:74(xpath_tokenizer)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1109(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1212(parse)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1276(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1388(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1510(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1771(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
        1    0.000    0.000    0.000    0.000 ElementTree.py:536(__init__)
        1    0.000    0.000    0.000    0.000 ElementTree.py:542(getroot)
        1    0.000    0.000    0.000    0.000 ElementTree.py:556(parse)
        8    0.000    0.000    0.000    0.000 ElementTree.py:605(find)
        1    0.000    0.000    0.000    0.000 __about__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      108    0.002    0.000    1.503    0.014 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1057(StreamHandler)
      603    0.002    0.000    0.101    0.000 __init__.py:106(async_method)
        1    0.000    0.000    0.000    0.000 __init__.py:1066(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:108(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:109(Encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:111(TreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1225(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1231(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:124(EmptyDataError)
        3    0.000    0.000    0.000    0.000 __init__.py:124(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        5    0.000    0.000    0.000    0.000 __init__.py:1255(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1296(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:130(ParserWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
       12    0.000    0.000    0.000    0.000 __init__.py:1315(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
       11    0.000    0.000    0.000    0.000 __init__.py:1366(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1390(_fixupChildren)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:1420(Logger)
       12    0.000    0.000    0.000    0.000 __init__.py:1435(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
      304    0.000    0.000    0.000    0.000 __init__.py:1455(debug)
        1    0.000    0.000    0.000    0.000 __init__.py:154(py_object)
        3    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:163(c_short)
        3    0.000    0.000    0.000    0.000 __init__.py:1636(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:167(c_ushort)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_getFrozendictJsonEncoder)
        1    0.000    0.000    0.000    0.000 __init__.py:171(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:171(c_long)
        3    0.000    0.000    0.000    0.000 __init__.py:1710(getEffectiveLevel)
      304    0.000    0.000    0.000    0.000 __init__.py:1724(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:175(c_ulong)
       22    0.000    0.000    0.001    0.000 __init__.py:176(flex_method_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1784(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:179(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1795(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:18(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:182(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:184(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:188(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:192(c_float)
       18    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:196(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:207(NumbaUtilError)
       12    0.000    0.000    0.000    0.000 __init__.py:2071(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:213(DuplicateLabelError)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.069    0.069 __init__.py:218(loadUi)
       25    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:22(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:2203(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        3    0.000    0.000    0.000    0.000 __init__.py:2219(createLock)
       25    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:234(InvalidIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:24(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:242(DataError)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        2    0.000    0.000    0.000    0.000 __init__.py:247(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:25(FrozendictJsonEncoder)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:251(SpecificationError)
        1    0.000    0.000    0.000    0.000 __init__.py:254(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:271(LogRecord)
        1    0.000    0.000    0.000    0.000 __init__.py:272(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:279(SettingWithCopyError)
       25    0.000    0.000    0.005    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 __init__.py:301(SettingWithCopyWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:313(_CountryTimezoneDict)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:323(ChainedAssignmentError)
        1    0.000    0.000    0.000    0.000 __init__.py:323(IncrementalEncoder)
       25    0.001    0.000    0.003    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:33(PerformanceWarning)
    26571    0.007    0.000    0.007    0.000 __init__.py:33(using_copy_on_write)
        1    0.000    0.000    0.002    0.002 __init__.py:331(Version)
        1    0.000    0.000    0.000    0.000 __init__.py:333(SAXTreeBuilder)
        8    0.000    0.000    0.000    0.000 __init__.py:334(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
       28    0.000    0.000    0.000    0.000 __init__.py:343(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:35(XMLParsedAsHTMLWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:35(ascii_lower)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:360(NumExprClobberingError)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:372(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:379(UndefinedVariableError)
        1    0.000    0.000    0.000    0.000 __init__.py:383(HTMLTreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:39(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:398(_FixedOffset)
      162    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:405(IndexingError)
        3    0.000    0.000    0.000    0.000 __init__.py:408(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:412(dev)
        2    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:42(TreeBuilderRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:426(PyperclipException)
        2    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        4    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:43(set_max_threads)
        1    0.000    0.000    0.000    0.000 __init__.py:434(PyperclipWindowsException)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
       14    0.000    0.000    0.002    0.000 __init__.py:438(flex_arith_method_FRAME)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:448(CSSWarning)
       24    0.000    0.000    0.000    0.000 __init__.py:465(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:467(PossibleDataLossError)
        1    0.000    0.000    0.000    0.000 __init__.py:47(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:479(ClosedFileError)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        6    0.000    0.000    0.000    0.000 __init__.py:480(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:492(IncompatibilityWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:496(DetectsXMLParsedAsHTML)
        1    0.000    0.000    0.000    0.000 __init__.py:498(AttributeConflictWarning)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        8    0.000    0.000    0.000    0.000 __init__.py:503(_parse_local_version)
        1    0.000    0.000    0.000    0.000 __init__.py:508(DatabaseError)
        4    0.000    0.000    0.000    0.000 __init__.py:51(register)
        8    0.000    0.000    0.000    0.000 __init__.py:515(_cmpkey)
        1    0.000    0.000    0.000    0.000 __init__.py:521(PossiblePrecisionLoss)
        1    0.000    0.000    0.000    0.000 __init__.py:522(Formatter)
        9    0.000    0.000    0.000    0.000 __init__.py:529(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:536(ValueLabelTypeMismatch)
        1    0.000    0.000    0.000    0.000 __init__.py:548(InvalidColumnName)
        1    0.000    0.000    0.000    0.000 __init__.py:55(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:563(CategoricalConversionWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:567(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:577(LossySetitemError)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:58(check_compatibility)
        1    0.000    0.000    0.000    0.000 __init__.py:583(NoBufferPresent)
        1    0.000    0.000    0.000    0.000 __init__.py:589(InvalidComparison)
        3    0.000    0.000    0.000    0.000 __init__.py:589(register_treebuilders_from)
        1    0.000    0.000    0.000    0.000 __init__.py:6(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:601(ParserRejectedMarkup)
        3    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:62(GuessedAtParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:67(MarkupResemblesLocatorWarning)
